Designator,Footprint,Quantity,Value,LCSC Part #
A1,USR-TCP232-T2_MODUL,1,USR-TCP232-T2,
"C1, C11, C12, C13, C14, C17, C19, C2, C4, C5, C6, C7, C8",C_0805_2012Metric,13,100nF,
C10,C_0805_2012Metric,1,10nF,
C15,C_Radial_D6.3mm_H11.0mm_P2.50mm,1,"220uF, 10V",
C16,C_Radial_D10.0mm_H12.5mm_P5.00mm,1,220uF 50V,
C18,C_Radial_D6.3mm_H11.0mm_P2.50mm,1,220uF 25V,
C3,C_0805_2012Metric,1,4.7uF,
C9,C_0805_2012Metric,1,1uF,
"D1, D10, D104, D107, D108, D109, D11, D116, D117, D118, D12, D125, D126, D127, D13, D134, D135, D136, D14, D143, D146, D147, D15, D154, D155, D16, D162, D163, D17, D170, D176, D18, D19, D2, D20, D21, D22, D23, D24, D27, D28, D29, D3, D30, D31, D38, D39, D4, D40, D47, D48, D49, D5, D56, D57, D58, D6, D65, D68, D69, D7, D70, D77, D78, D79, D8, D86, D87, D88, D9, D95, D96, D97",D_DO-41_SOD81_P10.16mm_Horizontal,73,1N4007,
"D100, D102, D105, D110, D112, D114, D119, D121, D123, D128, D130, D132, D137, D139, D141, D144, D148, D150, D152, D153, D156, D158, D160, D161, D164, D166, D168, D169, D171, D172, D174, D175, D177, D178, D180, D181, D182, D183, D184, D185, D186, D187, D188, D189, D190, D191, D192, D193, D194, D195, D32, D34, D36, D41, D43, D45, D50, D52, D54, D59, D61, D63, D66, D73, D75, D80, D82, D84, D89, D91, D93, D98",LED_D3.0mm,72,LED_GREEN_3mm,
"D101, D103, D106, D111, D113, D115, D120, D122, D124, D129, D131, D133, D138, D140, D142, D145, D149, D151, D157, D159, D165, D167, D173, D179, D33, D35, D37, D42, D44, D46, D51, D53, D55, D60, D62, D64, D67, D72, D74, D76, D81, D83, D85, D90, D92, D94, D99",D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp,47,BZX55-C5V1,
D25,D_SMC,1,S5M,
D26,D_SOD-123,1,BZX55-C7V5,
D71,LED_D3.0mm_IRBlack,1,IR204A,
J1,PinHeader_1x05_P2.54mm_Vertical,1,Screw_Terminal_01x05,
J10,DG306-5.0-03P-12-00A,1,PORT10,
J11,DG306-5.0-03P-12-00A,1,PORT07,
J12,DG306-5.0-03P-12-00A,1,PORT13,
J13,DG306-5.0-03P-12-00A,1,PORT12,
J14,DG306-5.0-03P-12-00A,1,PORT11,
J15,DG306-5.0-03P-12-00A,1,PORT14,
J16,DG306-5.0-03P-12-00A,1,PORT15,
J17,DG306-5.0-03P-12-00A,1,PORT16,
J18,DG306-5.0-03P-12-00A,1,PORT17,
J19,DG306-5.0-03P-12-00A,1,PORT18,
J2,DG306-5.0-03P-12-00A,1,PORT01,
J20,DG306-5.0-03P-12-00A,1,PORT19,
J21,DG306-5.0-03P-12-00A,1,PORT20,
J22,DG306-5.0-03P-12-00A,1,PORT21,
J23,DG306-5.0-03P-12-00A,1,PORT22,
J24,DG306-5.0-03P-12-00A,1,PORT23,
J25,DG306-5.0-03P-12-00A,1,PORT24,
J26,DG306-5.0-03P-12-00A,1,PORT25,
J3,DG306-5.0-03P-12-00A,1,PORT03,
J4,DG306-5.0-03P-12-00A,1,PORT02,
J5,DG306-5.0-03P-12-00A,1,PORT05,
J6,DG306-5.0-03P-12-00A,1,PORT04,
J7,DG306-5.0-03P-12-00A,1,PORT06,
J8,DG306-5.0-03P-12-00A,1,PORT09,
J9,DG306-5.0-03P-12-00A,1,PORT08,
L1,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,1,100MHz-600,
R1,C_0805_2012Metric,1,10K,
"R10, R105, R108, R111, R120, R123, R126, R13, R133, R140, R143, R146, R155, R158, R16, R161, R170, R173, R176, R185, R188, R191, R198, R204, R207, R218, R221, R232, R235, R246, R25, R257, R28, R31, R40, R43, R46, R55, R58, R61, R68, R75, R78, R81, R90, R93, R96",R_0805_2012Metric,47,200,
"R100, R113, R114, R115, R128, R129, R130, R135, R148, R149, R150, R163, R164, R165, R178, R179, R18, R180, R19, R193, R194, R195, R20, R200, R209, R210, R223, R224, R237, R238, R249, R260, R33, R34, R35, R48, R49, R50, R63, R64, R65, R70, R83, R84, R85, R98, R99",R_1206_3216Metric,47,3.3K,
"R101, R102, R103, R116, R117, R118, R131, R136, R137, R138, R151, R152, R153, R166, R167, R168, R181, R182, R183, R196, R201, R202, R21, R215, R216, R22, R229, R23, R230, R244, R255, R36, R37, R38, R51, R52, R53, R6, R66, R7, R71, R72, R73, R8, R86, R87, R88",R_0805_2012Metric,47,10K,
"R104, R107, R110, R119, R12, R122, R125, R132, R139, R142, R145, R15, R154, R157, R160, R169, R172, R175, R184, R187, R190, R197, R2, R203, R206, R213, R214, R217, R220, R227, R228, R231, R234, R24, R241, R242, R245, R248, R252, R253, R256, R259, R265, R266, R267, R268, R27, R273, R274, R275, R276, R281, R282, R283, R284, R289, R290, R291, R292, R3, R30, R39, R42, R45, R54, R57, R60, R67, R74, R77, R80, R89, R9, R92, R95",R_0805_2012Metric,75,0,
"R106, R109, R11, R112, R121, R124, R127, R134, R14, R141, R144, R147, R156, R159, R162, R17, R171, R174, R177, R186, R189, R192, R199, R205, R208, R219, R222, R233, R236, R247, R258, R26, R29, R32, R41, R44, R47, R56, R59, R62, R69, R76, R79, R82, R91, R94, R97",R_2512_6332Metric,47,10K,
"R211, R212, R225, R226, R239, R240, R243, R250, R251, R254, R261, R262, R263, R264, R269, R270, R271, R272, R277, R278, R279, R280, R285, R286, R287, R288",R_0805_2012Metric,26,1K,
R4,R_2512_6332Metric,1,100K,
R5,R_2512_6332Metric,1,47K,
"U1, U2, U4, U5",SOIC-18W_7.5x11.6mm_P1.27mm,4,ULN2803A,
"U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U20, U21, U22, U23, U24, U25, U26, U27, U28, U29, U30, U31, U32, U33, U34, U35, U36, U37, U38, U39, U40, U41, U42, U43, U44, U45, U46, U47, U48, U51, U52, U55, U56, U60, U64, U8, U9",DIP-4_W7.62mm,47,EL817,
U3,LQFP-100_14x14mm_P0.5mm,1,STM32F100VETx,
"U49, U50, U53, U54, U57, U58, U59, U61, U62, U63, U65, U66, U67, U68, U69, U70, U71, U72, U73, U74, U75, U76, U77, U78, U79, U80",DIP-4_W7.62mm,26,PC817,
U6,TO-220-3_Vertical,1,L7805,
U7,SOT-223-3_TabPin2,1,LD1117S33TR_SOT223,
Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,1,8MHz,
