Designator,Mid X,Mid Y,Rotation,Layer
A1,-306.175,-445.0,0.0,bottom
C1,-394.675,-504.5,180.0,top
C10,-394.675,-511.0,180.0,top
C11,-338.0,-440.0,-90.0,top
C12,-307.6,-440.0,-90.0,top
C13,-387.0,-440.0,-90.0,top
C14,-414.0,-440.0,-90.0,top
C15,-453.0,-445.5,90.0,bottom
C16,-469.0,-441.5,-90.0,bottom
C17,-476.8,-421.4,-90.0,top
C18,-460.0,-445.5,90.0,bottom
C19,-466.8,-425.4,90.0,top
C2,-286.0,-479.0,180.0,top
C3,-394.675,-494.0,180.0,top
C4,-396.675,-497.55,90.0,top
C5,-387.175,-513.5,180.0,top
C6,-375.175,-513.5,180.0,top
C7,-369.175,-495.05,-90.0,top
C8,-388.125,-488.5,0.0,top
C9,-394.625,-508.5,180.0,top
D1,-268.0,-512.0,180.0,bottom
D10,-318.0,-422.0,-90.0,bottom
D100,-405.0,-550.5,-90.0,bottom
D101,-406.0,-566.5,0.0,bottom
D102,-381.0,-550.5,-90.0,bottom
D103,-382.0,-566.5,0.0,bottom
D104,-429.0,-578.5,-90.0,bottom
D105,-429.0,-550.5,-90.0,bottom
D106,-430.0,-566.5,0.0,bottom
D107,-375.0,-578.5,-90.0,bottom
D108,-345.0,-578.5,-90.0,bottom
D109,-321.0,-578.5,-90.0,bottom
D11,-324.0,-422.0,-90.0,bottom
D110,-375.0,-550.5,-90.0,bottom
D111,-376.0,-566.5,0.0,bottom
D112,-345.0,-550.5,-90.0,bottom
D113,-346.0,-566.5,0.0,bottom
D114,-321.0,-550.5,-90.0,bottom
D115,-322.0,-566.5,0.0,bottom
D116,-369.0,-578.5,-90.0,bottom
D117,-339.0,-578.5,-90.0,bottom
D118,-278.2,-553.4625,0.0,bottom
D119,-369.0,-550.5,-90.0,bottom
D12,-330.0,-421.92,-90.0,bottom
D120,-370.0,-566.5,0.0,bottom
D121,-339.0,-550.5,-90.0,bottom
D122,-340.0,-566.5,0.0,bottom
D123,-306.0,-553.4625,0.0,bottom
D124,-290.2,-554.4625,90.0,bottom
D125,-363.0,-578.5,-90.0,bottom
D126,-333.0,-578.5,-90.0,bottom
D127,-278.2,-547.4625,0.0,bottom
D128,-363.0,-550.5,-90.0,bottom
D129,-364.0,-566.5,0.0,bottom
D13,-336.0,-421.92,-90.0,bottom
D130,-333.0,-550.5,-90.0,bottom
D131,-334.0,-566.5,0.0,bottom
D132,-306.02,-547.4625,0.0,bottom
D133,-290.2,-548.4625,90.0,bottom
D134,-357.0,-578.5,-90.0,bottom
D135,-327.0,-578.5,-90.0,bottom
D136,-278.2,-541.4625,0.0,bottom
D137,-357.0,-550.5,-90.0,bottom
D138,-358.0,-566.5,0.0,bottom
D139,-327.0,-550.5,-90.0,bottom
D14,-342.0,-421.92,-90.0,bottom
D140,-328.0,-566.5,0.0,bottom
D141,-306.02,-541.4625,0.0,bottom
D142,-290.2,-542.4625,90.0,bottom
D143,-351.0,-578.5,-90.0,bottom
D144,-351.0,-550.5,-90.0,bottom
D145,-352.0,-566.5,0.0,bottom
D146,-278.2,-535.4625,0.0,bottom
D147,-426.275,-432.2,90.0,bottom
D148,-306.02,-535.4625,0.0,bottom
D149,-290.2,-536.4625,90.0,bottom
D15,-348.0,-421.92,-90.0,bottom
D150,-426.275,-460.2,90.0,bottom
D151,-425.275,-444.2,180.0,bottom
D152,-306.02,-499.4625,0.0,bottom
D153,-306.02,-475.4625,0.0,bottom
D154,-278.2,-529.4625,0.0,bottom
D155,-432.275,-432.2,90.0,bottom
D156,-306.02,-529.4625,0.0,bottom
D157,-290.2,-530.4625,90.0,bottom
D158,-432.275,-460.2,90.0,bottom
D159,-431.275,-444.2,180.0,bottom
D16,-354.0,-421.92,-90.0,bottom
D160,-306.02,-493.4625,0.0,bottom
D161,-306.02,-469.4625,0.0,bottom
D162,-278.2,-523.4625,0.0,bottom
D163,-438.275,-432.2,90.0,bottom
D164,-306.02,-523.4625,0.0,bottom
D165,-290.2,-524.4625,90.0,bottom
D166,-438.275,-460.2,90.0,bottom
D167,-437.275,-444.2,180.0,bottom
D168,-306.02,-487.4625,0.0,bottom
D169,-306.02,-463.4625,0.0,bottom
D17,-360.0,-421.92,-90.0,bottom
D170,-278.2,-517.4625,0.0,bottom
D171,-306.02,-511.4625,0.0,bottom
D172,-306.02,-517.4625,0.0,bottom
D173,-290.2,-518.4625,90.0,bottom
D174,-306.02,-481.4625,0.0,bottom
D175,-318.275,-460.2,90.0,bottom
D176,-420.275,-432.2,90.0,bottom
D177,-306.02,-505.4625,0.0,bottom
D178,-420.275,-460.2,90.0,bottom
D179,-419.275,-444.2,180.0,bottom
D18,-366.0,-422.0,-90.0,bottom
